food_name,category,calories,protein,carbs,fat,iron,vitamin_c
"Apple, candied",Apples,134.0,1.34,29.61,2.15,0.12,3.6
"Apple, raw",Apples,61.0,0.17,14.8,0.15,0.03,4.6
"Apple, dried",Dried fruits,243.0,0.93,65.89,0.32,1.4,3.9
"Crisp, apple",Cakes and pies,215.0,2.81,30.18,9.59,1.0,0.6
"Apple, baked",Apples,113.0,0.32,22.7,3.08,0.19,3.9
Apple cider,Apple juice,46.0,0.1,11.3,0.13,0.12,0.9
"Cobbler, apple",Cakes and pies,217.0,2.05,33.56,8.66,0.98,0.6
"Croissants, apple",Baked Products,1060.0,7.4,37.1,8.7,1.1,0.5
"Pie, apple",Cakes and pies,296.0,2.7,37.55,15.28,1.23,0.5
"Strudel, apple",Cakes and pies,281.0,1.96,37.18,14.08,0.3,0.5
Apple pie filling,Apples,100.0,0.1,26.1,0.1,0.29,1.7
"Apple juice, 100%",Apple juice,48.0,0.09,11.34,0.25,0.06,38.6
Apple salad with dressing,Other fruits and fruit salads,180.0,1.45,12.2,14.24,0.28,3.4
"Cake or cupcake, apple",Cakes and pies,376.0,2.41,52.52,17.5,0.9,0.2
